Time [s],Pos ECEF X [m],Pos ECEF Y [m],Pos ECEF Z [m],Latitude [deg],Longitude [deg],Altitude [m],Vel ECEF X [m/s],Vel ECEF Y [m/s],Vel ECEF Z [m/s],Vel N [m/s],Vel E [m/s],Vel D [m/s],Roll [deg],Pitch [deg],Yaw [deg]
0,6378137.29439884,504.427931738291,1.1992716220992,1.08458459590534e-05,0.00453135298956964,0.314345810383069,0.0189855659386251,2.99219401226017,3.18995829858293,3.18995829494419,2.99219250139044,-0.0192228134597976,-1.94125651944795e-19,0.00317602413578035,44.9999998883979
1,6378137.94788914,499.910915059247,3.52737821633376,3.1900527057137e-05,0.00449077548036478,0.967481332534051,0.008823368274685,2.92343313455689,3.18588782501745,3.18588781997681,2.92343243401204,-0.00905427728554037,0,0.0031829157265899,44.4044278654772
2,6378137.75633463,506.799626261502,6.49188415571539,5.87106115941846e-05,0.0045526579531213,0.776472818860116,0.0369219394086402,3.05768929326068,3.20335085435985,3.20335081627553,3.05768634983238,-0.0371681822836459,-1.94125651944795e-19,0.00318319153883046,43.6972001873701
3,6378137.7409974,509.489852202208,11.7404403540717,0.000106176946273842,0.00457682467191056,0.761357473353284,-0.049520862665664,3.06560474031658,3.28428038754949,3.284280478859,3.06560868629507,0.0492698937559712,7.76502607779179e-19,0.0031765127391423,42.8777426600688
4,6378138.18377639,513.109833151772,12.9327714614193,0.000116960015398596,0.00460934319008891,1.20442897401354,-0.0391943410283848,2.86542056576441,3.30957798858699,3.3095780681184,2.8654237096068,0.0389570669667205,1.16475391166877e-18,0.00316245844650247,41.9446728751777
5,6378135.98064571,514.218454391872,15.5514599342449,0.000140642679049592,0.00461930369781443,-0.998606529582827,0.0153394553281427,3.01837452156213,3.24581855537215,3.24581851711161,3.01837327505407,-0.0155907702845746,5.82376955834384e-19,0.00314052580174213,40.8958386043046
6,6378135.53662242,518.375996918958,20.2314031866497,0.000182966676852226,0.00465665186768287,-1.44228005858393,-0.109445819450918,3.02371694960551,3.36124631290282,3.36124666160201,3.02372583470837,0.109189336092098,9.70628259723974e-19,0.00311012993444048,39.7283612356827
7,6378138.74143222,520.239887454144,23.4765301222935,0.000212314513625327,0.00467339313673923,1.76269268560252,0.0529732258044784,2.7777483330355,3.36156452332167,3.3615643261621,2.77774400297599,-0.05321225228979,-1.94125651944795e-19,0.00307060439301277,38.4386888342415
8,6378138.3272544,523.718699780083,25.3225556914543,0.000229009415727392,0.00470464413633318,1.34880667350487,-0.255722424759501,2.85035879613641,3.4409249323431,3.44092595349456,2.85037978428702,0.255474623304996,1.94125651944795e-19,0.00302120278808577,37.0226645945819
9,6378138.56395232,526.082505592592,30.394873310872,0.00027488188801145,0.00472587838529006,1.5857214353336,-0.0253096051433412,2.43693162026305,3.6570584375481,3.65705855796689,2.4369336995638,0.025091056645681,-1.94125651944795e-19,0.00296110263459919,35.4756177972672
10,6378136.10084508,527.325377340901,33.4983741350179,0.000302949112935952,0.00473704511870366,-0.877267509301046,-0.110232523659298,2.06826093095406,3.48166817353446,3.48166875543165,2.06827003758339,0.110043116422203,0,0.00288941266231974,33.7924857825537
11,6378138.14267535,527.237982382978,36.12011278992,0.000326659215103987,0.00473625852011715,1.16456993212553,0.0163815411325801,2.15938416823554,3.45966073947947,3.45966064500982,2.15938280670543,-0.0165797673996691,7.76502607779179e-19,0.00280518518456533,31.9679767682207
12,6378138.14626085,533.903694106902,40.9565171277776,0.000370398171439321,0.00479613761349034,1.16873934497057,-0.0137158012873275,2.16483741999239,3.45687621338091,3.45687630080528,2.16483856053546,0.0135122386224688,3.88251303889589e-19,0.0027074354372446,29.9967842800041
13,6378136.43676452,533.998976279902,43.6741303791857,0.00039497553823084,0.00479699483336503,-0.540730848881212,0.13305315770983,2.08948517559244,3.55288510954932,3.55288419104055,2.0894740286126,-0.133252588199925,-5.82376955834384e-19,0.00259517005942079,27.8738640871853
14,6378134.92155628,533.434991544092,47.1797192288282,0.000426679118532312,0.00479192961025565,-2.05596114658896,-0.0880991989220714,1.79255549377866,3.57131977295417,3.5713204278095,1.79256285568139,0.0879226828646776,0,0.00246742697325136,25.5947831954775
